request type,LIC
d3e99c7b9817486b967d67a28ede8014.07f7d5ed09204918967a7b7ffeebe74d,1.0
02219cb05db64427a8fb59e3ef608844.00d6c01d64da41248a2527c7845c277a,1.0
856fa0ab2e38414999df460031f379b2.19fb0e0cd71a41d0a6af13199245ebdd,1.0
7243118f0db644aa8ad97619ad2d6171.22fbe2c7ce134acfbce8c082069c989f,1.0
3e375d8ff13246daaf0540da6e7cd404.1c1f3984812346a9aa49470c335cc320,1.0
4af2df2d3b344fbc87b7ab714f734cff.da249d64cab64a2b8bb4bdf2039e47a5,1.0
7e8ba38561f248e5b56fb1d34c3589e3.ca67816be17d446bb97a91abbb436b1a,1.0
23f16a3189294b958b902a08d8c46f6e.79857a0da88e4187a93539de29717e46,1.0
299afc2a832b4af9bd7266fb98d881d9.b10eceaf5bf44735b0e0a2712a9c073a,1.0
3e375d8ff13246daaf0540da6e7cd404.5f8ba3d6db6e47bcae57aae159b9cd5d,1.0
9091db15481d45109ecd42f0f4220dbd.05760a287eab410caee799c353e20d46,1.0
3ee9bbfcf3e3421c91665f23c908ec24.4c46b38a19d9423e8f42eb586f91ce97,1.0
47c61dc106fe4537b37851383630273f.2f7aae845cf249da807dfb3b1d26a4d7,1.0
d404478368d842a4a9a249cfce11815c.f52bd88c6bc1473894443d84984d60a5,1.0
02219cb05db64427a8fb59e3ef608844.8ed36037a8d145a1ab9300a6a32e1e70,1.0
37ad67cdbcf441b2992bd23d1d2961c9.79857a0da88e4187a93539de29717e46,1.0
02219cb05db64427a8fb59e3ef608844.df83481ab98a40e1b9034477296e93c9,1.0
b357e32d58554666acdac1f52d5bf0ef.1d9696e846ea4dd9a4c466eda079786c,1.0
d404478368d842a4a9a249cfce11815c.77bde1c45f764bab86168824906c7f00,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.1d7f87babb14408c8b49a5b2ddcd67bb,1.0
d404478368d842a4a9a249cfce11815c.ee91e4363ff54a3ab8cbbbf6e32a85b7,1.0
fa2cbe6b2c574161b925ffc6bdd7742c.2b0756dee1a1408cb64a2db02f6d4763,1.0
5b524c4b43434e2aae91467d466d828c.fbf45e60e85c40e2b33f76517822a69a,1.0
47c61dc106fe4537b37851383630273f.e71b53c6833349c98175fe2cb61a2d50,1.0
03b23c40aa9c427b9452087f62bb407f.fd72fe64159d42ce9597e978e8649063,1.0
aa983374928c49bf86381595d2fe005c.33e54a29cf4d4617be5081965f93787a,1.0
3094827e1d0e426aad889254934410b4.8e5fcd66f67d4c4b915208d7a30236cb,1.0
02219cb05db64427a8fb59e3ef608844.9e2e89d85de94e4aa0b6fca7bceadf86,1.0
46d93b84c83d4d32a22913698ca88b95.4936d1ea122b4cfaa65e427df0e7a248,1.0
97e45bd8772247c498b430d83822982a.00d6c01d64da41248a2527c7845c277a,1.0
3094827e1d0e426aad889254934410b4.78a3df45ddc0429fa899445dd2e409cf,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.6eba6250eff043b3863bcb8ea1cb9a3d,1.0
4af2df2d3b344fbc87b7ab714f734cff.2d4934721e6b4346950dfc8ec66f07af,1.0
3dfd0c327b5d415b8061f0f9e04e01b7.1d2d194eb8dd4cb386dda558145509b8,1.0
87173eaeeba64e47888e2a9b564893ce.00d6c01d64da41248a2527c7845c277a,1.0
a178217037784a6ab25c83e57e50ca88.00d6c01d64da41248a2527c7845c277a,1.0
2b842b4d8b2b4436976016193e247cd0.bca99ab73ee24fbcbf993aa7bf09a9a3,1.0
8ba7bde9a6e54fa691ec69a34fb98f2c.cfa17a7c1a3546e2883bc04347c29df9,1.0
8ba7bde9a6e54fa691ec69a34fb98f2c.ae5417c295624801b2c8a08e1610485f,1.0
5c82ba99fc21483694050844a8649f50.5fe7974d6a194b16a14bbce3d03d079a,1.0
03b23c40aa9c427b9452087f62bb407f.44d6951e9193457ebfc2471f3e458240,1.0
47c61dc106fe4537b37851383630273f.243636b96e7143468368b1bfb19754a6,1.0
9091db15481d45109ecd42f0f4220dbd.0e907b30975642188e64afd962c00871,1.0
6241632ee5b341a4b4eb793e902c115b.79857a0da88e4187a93539de29717e46,1.0
756dd38d5d1440ffb865ad60a4c151a7.00d6c01d64da41248a2527c7845c277a,1.0
02219cb05db64427a8fb59e3ef608844.c11e0113265542cb9fce6d30ea3776dd,1.0
2f392262967a4988bfbe431075f329f9.00d6c01d64da41248a2527c7845c277a,1.0
e4a90a96765540069468eb92f68cabb3.65be94271fde4f359b8bde37d3f579b0,1.0
aa983374928c49bf86381595d2fe005c.e102cb8402b24b6c9e5b5959ab7c6199,1.0
02219cb05db64427a8fb59e3ef608844.2dd0b6b28c3a488190f7313f2792d2a8,1.0
03b23c40aa9c427b9452087f62bb407f.c3a60658ba1f425685649b914a2f7994,1.0
587e47178cc148c485b623bcc914c27c.effb31dd6dc54364bc3f6e8e0d530b5f,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.7c7ec016d0a245a6b0cddf075c4ce341,1.0
bd3e2a3a27ff401383c65083c3b948d1.2c1ffb0bd95b418f82561fed193afcfd,1.0
c1e55109fee14b3ea7630941c51c5523.f37616bc5f78446c8c1991cccf1b1081,1.0
eceee07affe84db38a2866f6e4b606c9.79857a0da88e4187a93539de29717e46,1.0
3b4424c38fea470389fda1eb4a99d5ed.ef84ea15bfba44a0a82266cf6e9a23a6,1.0
4ddf82eb6e5d48dfaf1df405c3b37a81.0377319d72fe46a78703a119b746e262,1.0
920c0825a4cb4eaa9c94891e89c843b1.088d233fecb545dfac8ef13f76376f53,1.0
59b523a2e8ab46fbbee65ae67aa3daab.317f0315312a4373b2a5d17d4f75689d,1.0
62c789191edb4db388cc4725f178f52a.00d6c01d64da41248a2527c7845c277a,1.0
b2ebd63eb4684f5489fb2bcf07f37960.c94d0e65780242bba2d3d7da967993bb,1.0
9091db15481d45109ecd42f0f4220dbd.2b58ff3b348e4d32a6d89d5609cbadf2,1.0
3e375d8ff13246daaf0540da6e7cd404.f484b1f9797544e78a9bc890bc94733c,1.0
fa2cbe6b2c574161b925ffc6bdd7742c.9c7ceb3bc13b4b949b9657f77c4f5402,1.0
3b4424c38fea470389fda1eb4a99d5ed.1ad0ddc22e724d918159210635b7db31,1.0
47c61dc106fe4537b37851383630273f.7cd3164411894df6bcc0b07049fcee60,1.0
c5bdafe65c174609905858c3efab2dfd.c4473e86c1114a72a8209158b8d262de,1.0
47c61dc106fe4537b37851383630273f.9d629ca944004253a184476ba0f76c0f,1.0
02219cb05db64427a8fb59e3ef608844.cf617dc22f46444daa6028645fa2a806,1.0
02219cb05db64427a8fb59e3ef608844.649583074a314e4eb6529d87ba2c02b4,1.0
9091db15481d45109ecd42f0f4220dbd.78abfabd73b84fd082e5ff2a119e78c6,1.0
994cdf8286a34d04b4c5180b86629952.faa90bb007e24b9d863e9ea41c8b4fa4,1.0
587e47178cc148c485b623bcc914c27c.58517102db224507bb3d1b30ae2cda0c,1.0
d404478368d842a4a9a249cfce11815c.30057f022f0d45c084e675ebf36e30f8,1.0
47c61dc106fe4537b37851383630273f.030f069d6a904f94adec80df05fd1d45,1.0
f458d6c1cf47407f957f150bdbf0dd40.00d6c01d64da41248a2527c7845c277a,1.0
09414dac5e1f406aba7afa3a9cda3df6.5cc4abafc1d14eedbc5d7e1059fb4ac9,1.0
50ccb00d91174d3bbce09588faae76b1.396a9807c4cb4be194e750343bd567ae,1.0
8bd124e70bc547c8a75f89ba0272ee22.00d6c01d64da41248a2527c7845c277a,1.0
856fa0ab2e38414999df460031f379b2.ee9d1db5406c4a40a95310c5d2fd13e0,1.0
9091db15481d45109ecd42f0f4220dbd.68449d1dec564d238e21de2936e6386e,1.0
02219cb05db64427a8fb59e3ef608844.2de4f01459484906ba5235f0aed93d66,1.0
f458d6c1cf47407f957f150bdbf0dd40.effb31dd6dc54364bc3f6e8e0d530b5f,1.0
d3e99c7b9817486b967d67a28ede8014.0a857afd48d94dc096e29f8c4b83a75b,1.0
46d93b84c83d4d32a22913698ca88b95.d8f992fb9c26414c8112d58099af22bc,1.0
3e375d8ff13246daaf0540da6e7cd404.27cdd3575ba549b78ea6cf6335da0546,1.0
aa983374928c49bf86381595d2fe005c.8fdcaf75415247a0b8bcadeda93a6c54,1.0
b620c54a6cbe4539b92b5995a0ec624f.00d6c01d64da41248a2527c7845c277a,1.0
47c61dc106fe4537b37851383630273f.1633b309ec484eefb395e58efec552c3,1.0
edacaf9589524b5c9b9b4b35f3c58db6.fd72fe64159d42ce9597e978e8649063,1.0
299afc2a832b4af9bd7266fb98d881d9.00d6c01d64da41248a2527c7845c277a,1.0
55594061a8f7430fb07fc281cfccc75e.b40bff103a0542b18d56396d61a923be,1.0
e6306f6520b0487687a539208acf9e38.00d6c01d64da41248a2527c7845c277a,1.0
2f392262967a4988bfbe431075f329f9.b4896dcb77d74b8ba2332fbb7b5116bb,1.0
a1052bdec5da409881412df86c8b6ae2.b164d654d43b41b1b6c4c29ed56d885b,1.0
03b23c40aa9c427b9452087f62bb407f.4c88b21e58b445cc9e58ca0c41478812,1.0
02219cb05db64427a8fb59e3ef608844.48541f659f404435b02fed463d8eeef2,1.0
03b23c40aa9c427b9452087f62bb407f.775b509832794178bc38c28d635c2cd3,1.0
d3e99c7b9817486b967d67a28ede8014.97f4363f54044900af1b4a8f60144d02,1.0
9091db15481d45109ecd42f0f4220dbd.1c196c73d0c14eed8590d7a3b85296ad,1.0
55594061a8f7430fb07fc281cfccc75e.8936c4e956fe47cdbb8ecb2c1ab8e67d,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.361ec6000acb476c97016c418abbfc6d,1.0
3e375d8ff13246daaf0540da6e7cd404.de154d93be654094b385b4720223acc4,1.0
4eac45a983984834b0218d4e344d87cf.2f12accfd93c422bb8c04d3ce9d93c94,1.0
8ba7bde9a6e54fa691ec69a34fb98f2c.90c3dfe5eda5451c98533d963c666992,1.0
b86c4cbd26a647f59f2da5dab49adf1a.98f49845e516491895ceb46a599974ac,1.0
55594061a8f7430fb07fc281cfccc75e.091bf6f9802644f19ffcf93f6501755d,1.0
02219cb05db64427a8fb59e3ef608844.de58791a66b441d4b69998984371c33c,1.0
47c61dc106fe4537b37851383630273f.3cbca748b26b41069cc4871938523765,1.0
edacaf9589524b5c9b9b4b35f3c58db6.9a030b69346141f9b133c4da440f435e,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.c8fe17b25b3a4823a81988b2b35c5275,1.0
a2e4d7ec1cad49ed9c4502b6df4bb55c.79857a0da88e4187a93539de29717e46,1.0
1f11948ffdf74602a7c23153867a2f05.79857a0da88e4187a93539de29717e46,1.0
02219cb05db64427a8fb59e3ef608844.96392cf04e51497cab41820a073cd946,1.0
3e375d8ff13246daaf0540da6e7cd404.55431ade9f9f457fabe84007182f83d3,1.0
47c61dc106fe4537b37851383630273f.d2a208bd33da4c86b41f0dd655667267,1.0
d3e99c7b9817486b967d67a28ede8014.03976a2a656f46d08d1914a8f750b8e9,1.0
03b23c40aa9c427b9452087f62bb407f.b3a5dfdecd2d467686a9af77287b322c,1.0
c1e55109fee14b3ea7630941c51c5523.0f063fab4f554e829daed27e01e170cd,1.0
4299df97cf5b4589bf93dfa0852392dd.00d6c01d64da41248a2527c7845c277a,1.0
d404478368d842a4a9a249cfce11815c.63ed26496e2e4b9bbbb867db7c13df8b,1.0
65a4f18b98154ab7b37d32045f3c04e7.00d6c01d64da41248a2527c7845c277a,1.0
a2442895e4f84397adc2795c6a6f22c4.eb8701af69284f6bbd8dff21f47c35a4,1.0
9091db15481d45109ecd42f0f4220dbd.cdee2481ae024bfab340c81fd5ab6275,1.0
47c61dc106fe4537b37851383630273f.151c3d0a99b94d628d438a47ee795e8a,1.0
55594061a8f7430fb07fc281cfccc75e.938def6035b849b8913cb705895420db,1.0
d404478368d842a4a9a249cfce11815c.52f7c923e75e420bb186e1daa2a23287,1.0
ded93a46951a4850856f972c8608ef58.4a7927c3f86c4a269553141ec46e6816,1.0
02219cb05db64427a8fb59e3ef608844.ea58a6770d4345e386d0b092bc63c76e,1.0
c5adabd195ee401ab2e69766dce47633.00d6c01d64da41248a2527c7845c277a,1.0
3ee9bbfcf3e3421c91665f23c908ec24.79857a0da88e4187a93539de29717e46,1.0
4e7f002b5d5f4561a1d31de4833e5b55.9a133a02a74d4767a75f436cfec84a5e,1.0
cd1146e2bac44e3491b9a6ec7d56e9e9.c4473e86c1114a72a8209158b8d262de,1.0
4af2df2d3b344fbc87b7ab714f734cff.99c5c7c682934765b73b713655d21137,1.0
d404478368d842a4a9a249cfce11815c.ee575ae00e3544b2ad0b66416d3be9d5,1.0
00b30849693646d79a9c5622bfcacace.dd94d57cbb2846299a37ea12e868c34f,1.0
8f9ea551a5ad4235849450e7ca2e2fae.79857a0da88e4187a93539de29717e46,1.0
160acaf9ca3744b991246e1638d42d4f.6c08fd27e6474d48a64493746b022869,1.0
017197edb68247119abddfebae83d208.0f646b488c7d48a9bae9ed19007e214b,1.0
70a9c940a4b44d2b8a96668c1ee50914.1d883984ab024bc094ed0b215716d2d7,1.0
83536a01113c414bb7972e270521519a.8aa3b41f11fd423d949070543c949b02,1.0
ded93a46951a4850856f972c8608ef58.b0018bf3c9054e4a991b5e7d6bf76b35,1.0
47c61dc106fe4537b37851383630273f.8f971b0623a647d8be0d58a038559fba,1.0
d3e99c7b9817486b967d67a28ede8014.a14d712243784a4e8fa6e0189a301437,1.0
47c61dc106fe4537b37851383630273f.feea3f73a33444d1b0b6e34264b3928f,1.0
2d09b7edd736416f812656dd77abea27.79857a0da88e4187a93539de29717e46,1.0
02219cb05db64427a8fb59e3ef608844.4ef00c737ef3471581f735cee6f77ee6,1.0
920c0825a4cb4eaa9c94891e89c843b1.474e215b03f2431caf7ba940db9a5d81,1.0
2f392262967a4988bfbe431075f329f9.77c5f5fb4db545bfb650071be0e769e4,1.0
02219cb05db64427a8fb59e3ef608844.4424544d984247b4b8154cbb52b87f6d,1.0
47c61dc106fe4537b37851383630273f.893add4beda24207bf81d3faef8e8d85,1.0
dec478408da54908860e4d59ca7749f3.79857a0da88e4187a93539de29717e46,1.0
47c61dc106fe4537b37851383630273f.5ef4c62c459e4caba207fdb637af80ba,1.0
d3e99c7b9817486b967d67a28ede8014.dc094e26c15e4d88a9d84b277d4d0f1f,1.0
3b4424c38fea470389fda1eb4a99d5ed.0b1679d8b217485cb1283895f12f5d72,1.0
8ba7bde9a6e54fa691ec69a34fb98f2c.d6cf6029e05c45ed9cc508c8ddee3e6b,1.0
02219cb05db64427a8fb59e3ef608844.6eaa5f9906af4963bf85d7d00b98df88,1.0
47c61dc106fe4537b37851383630273f.ecc2ccd578f4474c8285fa23d7f6d7cb,1.0
84904c05600143b083c52d89872b1f37.79857a0da88e4187a93539de29717e46,1.0
e29af964aa724571ba182273742bec3e.effb31dd6dc54364bc3f6e8e0d530b5f,1.0
47c61dc106fe4537b37851383630273f.05c8f7b7d9794e159d27936c2ad673c1,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.57096c0e6e1d4038bda217bf3d89abf9,1.0
9091db15481d45109ecd42f0f4220dbd.660fe146f10b4a0ebd5482e3c4c2abdb,1.0
03b23c40aa9c427b9452087f62bb407f.776644d0b3664126afb5489e1d2ff641,1.0
bb64d8b5b311452d9d9051694d7f4bb2.00d6c01d64da41248a2527c7845c277a,1.0
b357e32d58554666acdac1f52d5bf0ef.d50e0c1032ce4676a0227fe1b815b86d,1.0
b0f5c3d2e2d4462e8b784d4e796a8d23.00d6c01d64da41248a2527c7845c277a,1.0
02219cb05db64427a8fb59e3ef608844.27f98a56ca264f79bc2e2e64d21e22c8,1.0
b86c4cbd26a647f59f2da5dab49adf1a.6abb4f19d57947e8b447ff5fd5ef4312,1.0
02219cb05db64427a8fb59e3ef608844.5a04a777599946fabd045ee00a7f653f,1.0
4ddf82eb6e5d48dfaf1df405c3b37a81.bf33d0a555524cf9b6f8258d9ddb5019,1.0
4acce79b8935432881bd32294be9a899.79857a0da88e4187a93539de29717e46,1.0
02219cb05db64427a8fb59e3ef608844.b593aad9ec3c40d98cd36ee39d299c56,1.0
55594061a8f7430fb07fc281cfccc75e.5791acd615104a248233c7e697cfa158,1.0
67de8301350246c8a6ea999616f4de22.b2056fd35de645fcb183865f97ced12e,1.0
47c61dc106fe4537b37851383630273f.1f3637a058f84080ac996fc7605288a7,1.0
3dfd0c327b5d415b8061f0f9e04e01b7.2e354ebb1d17493dba9ab990b98b4483,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.db2f1d21664249ee92583f09884971d1,1.0
d3e99c7b9817486b967d67a28ede8014.678560e72cc145b2a24561d38662098f,1.0
03b23c40aa9c427b9452087f62bb407f.fe2d6b053d3c48839c1e05f8dc01fc10,1.0
b357e32d58554666acdac1f52d5bf0ef.3c67e5411289487c889f8edaf4dcd97b,1.0
ce539b5c4243488882f2d588b5c52287.79857a0da88e4187a93539de29717e46,1.0
aa983374928c49bf86381595d2fe005c.5c5f323e9a33477cb93d2298ad8f74e7,1.0
d3e99c7b9817486b967d67a28ede8014.a36b94214a074358ad1d8891ae6597e8,1.0
03b23c40aa9c427b9452087f62bb407f.93f85cb7d8e84912aaf22e272c6c1c37,1.0
39cf6257f30d435cb7fa1a2c64e8b66a.e2819ee7dff04d15a15c553de347e0ca,1.0
d3e99c7b9817486b967d67a28ede8014.3fd7c7bb3cd947c2a194b1f3f008fb5b,1.0
d3e99c7b9817486b967d67a28ede8014.8f3cb48aca154e149bfc158bf86ef48e,1.0
228cbf320bf74d88a1839080a9a80e79.e5ed7e1f942d442dbae04ad96df542af,1.0
47c61dc106fe4537b37851383630273f.4f5c5c374ff24f8aba98d5769795503a,1.0
9091db15481d45109ecd42f0f4220dbd.b841b35b7d8e4f5f843bec61f0ddfe26,1.0
47c61dc106fe4537b37851383630273f.eb4d0a0e918b4dfeb753d896dbf3263a,1.0
46d93b84c83d4d32a22913698ca88b95.e916b56236d449eeb6dbd2cb276bd942,1.0
4af2df2d3b344fbc87b7ab714f734cff.70e49fed06b14392b472805338636064,1.0
02219cb05db64427a8fb59e3ef608844.12eab137d3f3434d926a3cb252028a0d,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.8747a63456a645928f0b0baddf2431d8,1.0
d3e99c7b9817486b967d67a28ede8014.b5f8c3b49c3a4a4c8d57dd4cec173931,1.0
299afc2a832b4af9bd7266fb98d881d9.9838b88895364b61bcbbc5d974df7ca1,1.0
47c61dc106fe4537b37851383630273f.8719036d78444aa4bbefd8172adf36de,1.0
03b23c40aa9c427b9452087f62bb407f.c98ad4f84c7e4e6787dea25fc222c687,1.0
d3e99c7b9817486b967d67a28ede8014.e7e69b1ed09946d7920cf105414a8890,1.0
d266752e507e47acaf1e10a6ce0997b1.00d6c01d64da41248a2527c7845c277a,1.0
47c61dc106fe4537b37851383630273f.dac690a4bee74c89a5320accdcfebefe,1.0
47c61dc106fe4537b37851383630273f.32a7ce532ead44cda7b17bd9fa2682bf,1.0
67de8301350246c8a6ea999616f4de22.5ec1ab29a7254b53b26370900a979210,1.0
02219cb05db64427a8fb59e3ef608844.06e2e74b12ee47f481c6ede4717d59d0,1.0
920c0825a4cb4eaa9c94891e89c843b1.e76353a2dfdb40b09e3f5214ebf1cb38,1.0
02219cb05db64427a8fb59e3ef608844.cf2ffc09e2d5445aa0f1f9d9ebc74a78,1.0
cd1146e2bac44e3491b9a6ec7d56e9e9.effb31dd6dc54364bc3f6e8e0d530b5f,1.0
d3e99c7b9817486b967d67a28ede8014.b75083312edb4f1a9c60668f78f6e174,1.0
3b4424c38fea470389fda1eb4a99d5ed.abd972a20f9249fa83ee111a1cbf066e,1.0
3dfd0c327b5d415b8061f0f9e04e01b7.a85259b6301a4665b4b14ed6b3bdeba5,1.0
02219cb05db64427a8fb59e3ef608844.e32d2b8b64e9426aa403796fba174c42,1.0
a2442895e4f84397adc2795c6a6f22c4.704e599e25ac4cb2b31dd72f69631e0b,1.0
80ebb632064049589012032255cf89f8.79857a0da88e4187a93539de29717e46,1.0
47c61dc106fe4537b37851383630273f.bbacc12f34be4ebb9440e8b5b8c6f24d,1.0
299afc2a832b4af9bd7266fb98d881d9.bc75d75187ba4abda5d48873552c6620,1.0
d3e99c7b9817486b967d67a28ede8014.b276205f90f94d5fa8e992fb9bee3b8b,1.0
d404478368d842a4a9a249cfce11815c.86e197029c9b476ea390f6eaadf1a9fe,1.0
bd3e2a3a27ff401383c65083c3b948d1.00d6c01d64da41248a2527c7845c277a,1.0
47c61dc106fe4537b37851383630273f.1fb725f8e1d841fb98139fe3a6e2f86c,1.0
da4122360cec4b1b82d0520c8ce9e6f7.79857a0da88e4187a93539de29717e46,1.0
d404478368d842a4a9a249cfce11815c.dfff4191f7d042998991a4d23621210e,1.0
8ba7bde9a6e54fa691ec69a34fb98f2c.26f7bd99842b49f8a4c0b053bfd1caf1,1.0
9091db15481d45109ecd42f0f4220dbd.13da5ad4da5b45468c35d4139d3500cd,1.0
9091db15481d45109ecd42f0f4220dbd.a13f610c498e423b8ec2635c2be9cea1,1.0
e29af964aa724571ba182273742bec3e.c4473e86c1114a72a8209158b8d262de,1.0
900a78c7b7834f9480c83d002512124b.6ce4354bdfa24e1a8e1cba0451bb56b2,1.0
920c0825a4cb4eaa9c94891e89c843b1.99d439ff367d400fb798d0f4789ae59e,1.0
47c61dc106fe4537b37851383630273f.778984420a124947815cc95cd9f14314,1.0
02219cb05db64427a8fb59e3ef608844.453ac31891294063b5427a08b9e617ec,1.0
c1e55109fee14b3ea7630941c51c5523.a5c72171feec45b5b35e373ac5fa3c81,1.0
a178217037784a6ab25c83e57e50ca88.91caeb4b26c5421f9f84facad796bedd,1.0
