service,PIH
8w7718,0.2
iFw4s2,0.202525253
8qu522,0.208333333
2N0Ho8,0.208333333
6w61kg,0.2131907
W4TO6u,0.214285714
805m2Q,0.214285714
6ypxMh,0.216463952
7y5ND4,0.226449275
5wJ6ka,0.230769231
gAk5K8,0.233201581
VPjn8b,0.235930736
j7Q114,0.244444444
0xFO52,0.244444444
73M564,0.25
JL68H1,0.25
gkWv81,0.254578755
21A1jT,0.260536132
7M5k1k,0.266666667
243748,0.268779445
70858S,0.277777778
842f6Y,0.279910431
58348I,0.282644105
425115,0.285714286
8mRd1R,0.294065467
234622,0.3
xD3508,0.3
6mq548,0.305306122
5326J2,0.307692308
67T6fg,0.311111111
pp1c2o,0.333333333
4bYwy4,0.333333333
4iv28W,0.333333333
B2RbIU,0.333333333
oTyp5K,0.333333333
1pEtBL,0.333333333
jB4T6V,0.333333333
fM1YF5,0.333333333
yB5QL5,0.333333333
2250fu,0.333333333
lHN7SA,0.333333333
216T27,0.333333333
62c611,0.333333333
p6J2P5,0.333333333
Y77W11,0.333333333
S11y6U,0.333333333
44v4j2,0.333333333
L0OT66,0.333333333
tmQCh6,0.333333333
R0580J,0.34729064
N7T7u7,0.34981685
1041N8,0.355555556
l20387,0.360021786
eeM3QI,0.372890553
ucb853,0.374720418
Tx5Oii,0.388888889
1xAuk3,0.4
Jt1w6w,0.4
32y50O,0.4
p35h5x,0.4
DLv557,0.4
8i5f3o,0.408333333
G2OWH6,0.416666667
d0k77S,0.433333333
3jg64S,0.435185185
ed5AbX,0.43968254
I428gR,0.443593561
84P817,0.444444444
v37Hw5,0.446428571
50E457,0.465526316
42X24W,0.468444444
WHTB23,0.46969697
1A006S,0.46969697
3p4251,0.478132469
4OKnL4,0.492647059
eQt2x8,0.498768473
UA1C2O,0.5
WE4Btl,0.5
67hf41,0.5
T5O740,0.5
605AC3,0.5
834745,0.5
727386,0.5
Y7hbgd,0.505928854
40gEoB,0.523428605
b0nR6m,0.523809524
8d3o21,0.527272727
6365yE,0.531024531
0I87MS,0.544444444
815IQ5,0.56884058
6Yf171,0.574425459
Ql117i,0.590769231
P24KbL,0.6
5O1O7Y,0.6
NQdtAo,0.6
d7463V,0.6
06vgC0,0.6
0H3Fdx,0.6
7In413,0.6
17RoUb,0.615757021
78a218,0.621323529
3yQ255,0.622222222
GHXqpk,0.625623583
Ih3Gb2,0.628472222
y00x32,0.666666667
1IcW04,0.666666667
RCjw6D,0.666666667
VlY8S3,0.666666667
0M87l1,0.671016555
l414NM,0.715758468
05Y711,0.726430284
4325d7,0.75
56027n,0.761290323
F0768j,0.772432932
O6W71q,0.777777778
vN3U7l,0.777777778
t017Xb,0.782801418
1OOT24,0.8
V41R7P,0.845810001
ylThl5,0.849695295
5FQnM7,0.866995074
26AY7T,0.894736842
v6lOMh,0.906759169
Y301IA,0.909090909
8F0s0L,0.914975845
t7T6M5,0.923076923
OErX0h,0.928571429
lQnFd0,0.935483871
U45L5b,0.956521739
H80305,0.963636364
E7q8sD,0.98540146
3eh148,1
dHXedT,1
cbwR50,1
8I0w73,1
8r7w11,1
m3223P,1
Rk77EW,1
b0e341,1
PJ3e6G,1
38pf30,1
4641S6,1
7lO4G6,1
U8MJB1,1
0o22ig,1
1Ef13P,1
Q715aX,1
22i808,1
887yUb,1
57kdGq,1
P2N76t,1
40Rh3t,1
k0Uo25,1
4F480S,1
J366m0,1
mS13P5,1
065She,1
B24ks2,1
WA6pit,1
0XdEN7,1
62TGi5,1
32BA06,1
G006PG,1
4pFSku,1
X6Cj28,1
4SI87V,1
25Ux5S,1
PgWD07,1
e8I21m,1
x1K71o,1
t1PwNF,1
2ryr83,1
77X4I6,1
0txKYq,1
E378oN,1
0jK321,1
5DhGF8,1
6Vmp3b,1
137lRi,1
XA4111,1
xYYp5H,1
305Tg6,1
jL3V6Y,1
TK5Ja0,1
1r1bPH,1
16sOW7,1
5YE853,1
8qHG1U,1
W36o35,1
gar8J2,1
232RXL,1
TYR7SB,1
Ij7y0F,1
op6e8X,1
28Ed7C,1
g4GRHc,1
76ugY8,1
5TN6ka,1
8Ghqb3,1
onSo34,1
DEC48d,1
3SrAHI,1
RX4G0o,1
7Dvo3n,1
F5kvFW,1
0mv1Qk,1
2l87a8,1
05127C,1
vN4837,1
1nk5oH,1
S1868E,1
233h6E,1
d8hLFb,1
us81gF,1
1YD0k6,1
N3xpi1,1
3Yq65b,1
7U4ru4,1
0WR8FL,1
F564I4,1
Iasj5i,1
6h6nQt,1
N6U2n1,1
n8YtpM,
1p80S5,1
u8H26q,1
oT72oy,1
0336LI,1
Lg03Ig,1
c74382,1
0l2242,1
6u2XwQ,1
e1L02W,1
GY2r1a,1
HPgy6A,1
0630mJ,1
xh674n,1
R7X2RS,1
32Fn2j,1
U8H5Ug,1
58267Q,1
p3TRg5,1
SX8420,1
3W66M0,1
2pN8Qh,1
1e0C4J,1
n552Rb,1
11N868,1
43117W,1
xl67T4,1
I1gQ10,1
41T3n4,1
384jXo,1
dGIiMO,1
714WCo,1
Cqn5gf,1
1GGaD4,1
e2Vg84,1
eJ3F5o,1
5OM7k3,1
WBE0QP,1
4j33b7,1
3ui20Q,1
X6iV1s,1
HsE7N2,1
u560nf,1
0d4401,1
2I6d28,1
p3PD08,1
4M50r8,1
717534,1
c64vA1,1
e75663,1
lKdxjM,1
rtoOEm,1
537b1d,1
84D0lV,1
06w8J1,1
vEU71q,1
F24W5u,1
26mAr0,1
M3Y17X,1
K77MK5,1
8y4d28,1
Rd2P8l,1
K504Kr,1
6t8682,1
8QKe5w,1
18x2V5,1
a1DGDg,1
EE6p62,1
nt440J,1
C415g8,1
Vnr6x1,1
nwcJCx,1
ShYOmA,1
i731f0,1
D5ue56,1
6S8515,1
Qd28V0,1
6A4tC5,1
w85sN0,1
l58qh4,1
0F53p1,1
BOe6f0,1
x0j6M4,1
5w7UB1,1
Hg48y7,1
1eT6p7,1
54E852,1
0p28a7,1
25306l,1
V16qm2,1
rkB12y,1
345Ku4,1
S71Fgt,1
6d2B45,1
6TS5lU,1
s057Vh,1
42DKsG,1
2F0E75,1
BtRw2N,1
J0488c,1
F26705,1
44qPs1,1
I0Q4k1,1
SNE3u3,
23477u,1
6D6555,1
00uw53,1
TO87vJ,1
0c2I47,1
0rqlkw,1
8xpu4x,1
I35ubm,1
l358g2,1
NX8J7e,1
02t1fb,1
i40WdP,1
IO1a4J,1
47bD3P,1
5p3dKb,1
o41v6L,1
3o7YO0,1
726e00,1
o3m35l,1
8CF026,1
384KG1,1
1442hd,1
Dg0b31,1
DTKwoo,1
e740WR,1
40A840,1
f3687h,1
7BYPwH,1
022H85,1
A5r375,1
DBGc6m,1
J27xr8,
n5iGD0,1
qS323C,1
1wwS3X,1
62bJN8,1
YjJ2vd,1
N72027,1
2267fD,1
3C3f62,1
yR7046,1
y55X77,1
6jO453,1
86T7Sg,1
5Wroqu,1
C553X2,1
lk3b35,1
C187M0,1
36cl76,1
H3OO2f,1
h2XmU7,1
18p8Gi,1
s8UO06,1
22Q4A7,1
MU8A77,1
663140,1
7Tk6J7,1
O2owG5,1
6H8c3U,1
N8p5E1,1
2WpOnj,1
y182A2,1
m3rCA6,1
IX7m0E,1
UBv8MT,1
6ALYP8,1
w0lx1r,1
28BnB2,1
O6b4dJ,1
pBc6Je,1
n8EtTE,1
0eP3q8,1
eg4Y6S,1
wP63vC,1
Q28S01,1
CiLW7H,1
88181B,1
5D24UU,1
R5X4n4,1
sk2Brj,1
670IKk,1
27H254,1
0rw500,1
76TjH8,1
0Sw0TO,1
36635R,1
G42E85,1
8243fN,1
28jeLO,1
h70NId,1
I0KP0f,1
F36X4t,1
E4N521,1
8174Hh,1
58jFwG,1
7y0hg8,1
8FXHtQ,1
fcrD01,1
75f453,1
4E50dC,1
d70EDj,1
07eBN6,1
B448TN,1
628282,1
141RR8,1
6P45i8,1
Y16751,1
jjp7aK,1
4Dx217,1
4u0Mpf,1
242X08,1
Swt835,1
7U850E,1
PXSNRY,1
2688F0,1
68X520,1
hD68W6,1
RXSM7d,1
c83081,1
fk3sd2,1
846iqS,1
686qF7,1
EOKT53,1
lDXA06,1
746K6o,1
6677K1,1
T8OR5W,1
F05121,1
w2Jju7,1
C5276A,1
dR11l8,1
16Hu72,1
EqCAB0,1
L4447b,1
0345Mu,1
V76A0b,1
